CoreID,Site ,Subsite,Plot,W/C,Soil core weight (g) ,Soil core wet weight post removal (g) ,Date of installment,Depth of core (cm) ,Diameter of core (cm),Vol core (cm3),Date of removal ,Gravel weight (g),Subsample wet weight (g) ,Subsample dry weight (g) ,GWC %,Dry weight core (g) ,Bulk density (g/cm3),Roots wet weight (g) ,Roots dry weight (g) ,Root (g/bulk dens),Core soil source ,moist category (within site),distance to nearest logger (cm) ,TOMST logger ID,Camera ID,Notes
CASS_16W_P1,Sphinx Bay,Cassiope,16,W,321.4,508.1,July 19 2022,20,6,565.48668,June 28 2023,19,10.1,1.476,5.842818428,74.2530297,0.164907562,0.5,0.117,0.709488386,,dry,,,,
CASS_16W_P2,Sphinx Bay,Cassiope,16,W,329.6,533.8,July 19 2022,20,6,565.48668,August 1 2023,7.8,10.6,1.71,5.198830409,86.11301887,0.166074679,0.568,0.135,0.812887316,,dry,,,,
CASS_16W_P3,Sphinx Bay,Cassiope,16,W,306.4,480.1,July 19 2022,20,6,565.48668,September 24 2023,0.78,10.24,1.521,5.732412886,71.31172852,0.127486166,2.851,0.476,3.733738464,,dry,,,,
CASS_16W_T1,Sphinx Bay,Cassiope,16,W,301.6,522,July 19 2022,20,6,565.48668,August 1 2023,4.8,10,1.79,4.586592179,93.438,0.173722925,1.3,0.326,1.876551413,,dry,,,,
CASS_16W_T2,Sphinx Bay,Cassiope,16,W,324,477.8,July 19 2022,20,6,565.48668,September 24 2023,3.86,10.06,1.753,4.7387336,83.25878728,0.15405984,1.106,0.269,1.746074775,,dry,,,,
MEAD_17C_P1,Sentinel Bay,Meadow,17,C,341.1,734.1,July 21 2022,20,6,565.48668,June 29 2023,0,10.7,2.73,2.919413919,187.2984112,0.33121631,2.5,0.279,0.842349824,,wet,,,,
MEAD_17C_P2,Sentinel Bay,Meadow,17,C,344.6,535.2,July 21 2022,20,6,565.48668,August 2 2023,0,10.4,1.931,4.385810461,99.37223077,0.175728685,0.948,0.181,1.029996894,,wet,,,,
MEAD_17C_P3,Sentinel Bay,Meadow,17,C,334.1,642.8,July 21 2022,20,6,565.48668,September 24 2023,0,10.18,1.796,4.668151448,113.4055796,0.200545094,2.148,0.386,1.924754137,,wet,,,,
MEAD_17C_T1,Sentinel Bay,Meadow,17,C,340.2,639.6,July 21 2022,20,6,565.48668,August 2 2023,0,10.2,3.713,1.747104767,232.8269412,0.411728427,3.246,0.527,1.279969916,,wet,,,,
MEAD_17C_T2,Sentinel Bay,Meadow,17,C,332.2,539.8,July 21 2022,20,6,565.48668,September 24 2023,0,10.29,1.61,5.391304348,84.4585034,0.149355425,1.885,0.458,3.066510641,,wet,,,,
MEAD_18W_P1,Sentinel Bay,Meadow,18,W,318.1,642.2,July 21 2022,20,6,565.48668,June 29 2023,0,10,1.85,4.405405405,118.807,0.210096903,2.496,0.35,1.665897952,,wet,,,,
MEAD_18W_P2,Sentinel Bay,Meadow,18,W,328.1,738.4,July 21 2022,20,6,565.48668,August 2 2023,0,10.2,2.603,2.918555513,188.4367843,0.333229395,1.553,0.278,0.834260135,,wet,,,,
MEAD_18W_P3,Sentinel Bay,Meadow,18,W,326.3,636,July 21 2022,20,6,565.48668,September 24 2023,0,10.09,2.094,3.818529131,131.9904856,0.233410424,1.297,0.319,1.366691319,,wet,,,,
MEAD_18W_T1,Sentinel Bay,Meadow,18,W,314.3,621,July 21 2022,20,6,565.48668,August 2 2023,0,10.3,2.113,3.874585897,127.3954369,0.225284594,2.362,0.455,2.019667624,,wet,,,,
MEAD_18W_T2,Sentinel Bay,Meadow,18,W,332.3,706.6,July 21 2022,20,6,565.48668,September 24 2023,0,10.17,1.817,4.59713814,126.2430875,0.223246793,2.36,0.498,2.23071514,,wet,,,,
