Species,treatment,meanFreq,LogMeanFreq,SDmeanFreq,SEmeanFreq,Treat
Pilosella.tristis,offTrail,11.1428571,2.410798674,11.7201808,3.13235007,1
Danthonia.intermedia,offTrail,0.42857143,-0.8472978571,1.60356745,0.42857143,1
Vahlodea.atropurpurea.,offTrail,7.28571429,1.985915484,12.9224228,3.45366277,1
Poa.alpina.arctica_Agrostis.alpina.humilis,offTrail,6.85714286,1.925290862,13.9441586,3.72673316,1
Potentilla.flabellifolia,offTrail,2.42857143,0.8873031956,7.41842079,1.98265635,1
Pulsatilla.occidentalis,offTrail,0.71428571,-0.3364722426,2.67261242,0.71428571,1
Salix.barclayi,offTrail,1.57142857,0.4519851228,5.87974732,1.57142857,1
Schoenoplectus.acutus,offTrail,0,0,0,0,1
Kalmia.spp,offTrail,0.21428571,-1.540445061,0.80178373,0.21428571,1
Sorbus.sitchensis,offTrail,0,0,0,0,1
Tonestus.lyallii,offTrail,0,0,0,0,1
Tsuga.mertensiana,offTrail,1.85714286,0.6190392099,2.93145128,0.78346331,1
Vaccinium.membranaceum,offTrail,0,0,0,0,1
Vaccinium.ovafolium,offTrail,28.0714286,3.334752283,15.2439864,4.07412673,1
Vahlodea.atropurpurea,offTrail,0,0,0,0,1
Valeriana.stichensis,offTrail,1.5,0.4054651081,3.63212165,0.97072534,1
Veronica.wormskjoldii,offTrail,1.35714286,0.3053816517,5.0779636,1.35714286,1
Abies.lasiocarpa,onTrail,8.35714286,2.123116606,9.09443738,2.43059063,2
Antennaria.media,onTrail,0.92857143,-0.07410797062,3.47439614,0.92857143,2
Arnica.latifolia,onTrail,2.28571429,0.8266785751,5.81018431,1.55283708,2
Pilosella.tristis_Erigeron.glacialis,onTrail,0.85714286,-0.1541506765,3.2071349,0.85714286,2
Bryophyta,onTrail,9.92857143,2.295416604,11.6649659,3.11759326,2
Caltha.leptosepala,onTrail,0.14285714,-1.945910169,0.53452248,0.14285714,2
Carex.nigricans.pyrenaica,onTrail,5.85714286,1.767661918,10.8475956,2.89914186,2
Carex.pyrenaica,onTrail,2.07142857,0.7282384997,7.75057602,2.07142857,2
Carex.spp,onTrail,3,1.098612289,7.32750351,1.95835769,2
Carex.nigricans,onTrail,1.71428571,0.5389964982,6.41426981,1.71428571,2
Carex.spectabilis,onTrail,3.5,1.252762968,5.48774859,1.4666625,2
Cassiope.mertensiana,onTrail,15.9285714,2.76811444,14.8503524,3.96892363,2
Castilleja.parviflora,onTrail,0,0,0,0,2
Clintonia.uniflora,onTrail,0,0,0,0,2
Diphasiastrum,onTrail,1.78571429,0.5798184977,4.13574608,1.10532463,2
Epilobium.anagallidifolium,onTrail,0,0,0,0,2
Erigeron.glacialis,onTrail,2.85714286,1.049822125,4.03555625,1.07854778,2
Festuca.brachyphylla,onTrail,2.21428571,0.7949298729,7.21300718,1.92775726,2
Gaultheria.humifusa,onTrail,0.28571429,-1.252762953,1.06904497,0.28571429,2
Juncus.drummondii,onTrail,3.85714286,1.349926718,9.62254678,2.5717338,2
Kalmia.microphylla,onTrail,2.78571429,1.024504318,7.72785741,2.06535677,2
Luzula.piperi,onTrail,1.07142857,0.06899287015,2.01777813,0.53927389,2
Leptarrhena.pyrolifolia,onTrail,0,0,0,0,2
Luetka.pectinata,onTrail,29.7857143,3.394028893,12.0459286,3.21940984,2
Lupinus_spp,onTrail,2.92857143,1.074514738,6.47437892,1.73035055,2
Penstemon.procerus,onTrail,0.14285714,-1.945910169,0.53452248,0.14285714,2
Phyllodoce.empetriformis,onTrail,19.3571429,2.963061493,14.5369934,3.8851749,2
Phyllodoce.glanduliflora,onTrail,2.5,0.9162907319,9.35414347,2.5,2
Pilosella.tristis,onTrail,7.35714286,1.995671659,8.79341662,2.35013945,2
Danthonia.intermedia,onTrail,1.42857143,0.3566749449,5.34522484,1.42857143,2
Vahlodea.atropurpurea.,onTrail,1.85714286,0.6190392099,5.84224855,1.5614066,2
Poa.alpina.arctica_Agrostis.alpina.humilis,onTrail,3.21428571,1.167605159,5.19139186,1.38745784,2
Potentilla.flabellifolia,onTrail,0,0,0,0,2
Pulsatilla.occidentalis,onTrail,0,0,0,0,2
Salix.barclayi,onTrail,0,0,0,0,2
Schoenoplectus.acutus,onTrail,0.14285714,-1.945910169,0.53452248,0.14285714,2
Kalmia.spp,onTrail,0,0,0,0,2
Sorbus.sitchensis,onTrail,0.07142857,-2.63905735,0.26726124,0.07142857,2
Tonestus.lyallii,onTrail,0.71428571,-0.3364722426,2.67261242,0.71428571,2
Tsuga.mertensiana,onTrail,0.92857143,-0.07410797062,1.7743595,0.47421752,2
Vaccinium.membranaceum,onTrail,0.14285714,-1.945910169,0.53452248,0.14285714,2
Vaccinium.ovafolium,onTrail,23.3571429,3.150902843,14.9697497,4.0008339,2
Vahlodea.atropurpurea,onTrail,0.35714286,-1.029619409,1.33630621,0.35714286,2
Valeriana.stichensis,onTrail,2.57142857,0.9444616083,6.0346982,1.61284094,2
Veronica.wormskjoldii,onTrail,0,0,0,0,2
