"species","treatment","meanFreq","LogMeanFreq"
"Carex.nigricans","onTrail",1.71428571428571,0.538996500732687
"Carex.nigricans.pyrenaica","onTrail",5.07142857142857,1.62362254742606
"Carex.pyrenaica","onTrail",3,1.09861228866811
"Carex.spectabilis","onTrail",4.57142857142857,1.51982575374441
"Carex.spp","onTrail",2.92857142857143,1.07451473708905
"Cassiope.mertensiana","onTrail",14.8571428571429,2.69848075008606
"Castilleja.parviflora","onTrail",0,-Inf
"Clintonia.uniflora","onTrail",0,-Inf
"Danthonia.intermedia","onTrail",1.85714285714286,0.619039208406224
"Diphasiastrum","onTrail",1.78571428571429,0.579818495252942
"Epilobium.anagallidifolium","onTrail",0,-Inf
"Erigeron.glacialis","onTrail",3.21428571428571,1.16760516015506
"Festuca.brachyphylla","onTrail",2.21428571428571,0.794929874869888
"Gaultheria.humifusa","onTrail",0,-Inf
"Juncus.drummondii","onTrail",3.57142857142857,1.27296567581289
"Kalmia.microphylla","onTrail",2.78571428571429,1.02450431651439
"Kalmia.spp","onTrail",0,-Inf
"Leptarrhena.pyrolifolia","onTrail",0,-Inf
"Luetka.pectinata","onTrail",32.5714285714286,3.48343547989913
"Lupinus_spp","onTrail",2.64285714285714,0.971860583028966
"Luzula.piperi","onTrail",2.07142857142857,0.728238500371216
"Penstemon.procerus","onTrail",0,-Inf
"Phyllodoce.empetriformis","onTrail",17.9285714285714,2.88639560951653
"Phyllodoce.glanduliflora","onTrail",1.07142857142857,0.0689928714869514
"Pilosella.tristis","onTrail",7.28571428571429,1.98591548366901
"Pilosella.tristis_Erigeron.glacialis","onTrail",0.857142857142857,-0.154150679827258
"Poa.alpina.arctica_Agrostis.alpina.humilis","onTrail",3.21428571428571,1.16760516015506
"Potentilla.flabellifolia","onTrail",0,-Inf
"Pulsatilla.occidentalis","onTrail",0,-Inf
"Salix.barclayi","onTrail",0,-Inf
"Schoenoplectus.acutus","onTrail",0.142857142857143,-1.94591014905531
"Sorbus.sitchensis","onTrail",0.0714285714285714,-2.63905732961526
"Tonestus.lyallii","onTrail",0,-Inf
"Tsuga.mertensiana","onTrail",0.928571428571429,-0.0741079721537218
"Vaccinium.membranaceum","onTrail",0.142857142857143,-1.94591014905531
"Vaccinium.ovafolium","onTrail",22.6428571428571,3.11984444426202
"Vahlodea.atropurpurea","onTrail",0.357142857142857,-1.02961941718116
"Vahlodea.atropurpurea ","onTrail",1.71428571428571,0.538996500732687
"Valeriana.stichensis","onTrail",1.14285714285714,0.133531392624523
"Veronica.wormskjoldii","onTrail",0,-Inf
