Species,treatment,meanFreq,LogMeanFreq,SDmeanFreq,SEmeanFreq,Treat,Func_Group
Abies.lasiocarpa,onTrail,8.35714286,2.123116606,9.09443738,2.43059063,2,Conifers
Antennaria.media,onTrail,0.92857143,-0.07410797062,3.47439614,0.92857143,2,Forbs
Arnica.latifolia,onTrail,2.28571429,0.8266785751,5.81018431,1.55283708,2,Forbs
Pilosella.tristis_Erigeron.glacialis,onTrail,0.85714286,-0.1541506765,3.2071349,0.85714286,2,Forbs
Bryophyta,onTrail,9.92857143,2.295416604,11.6649659,3.11759326,2,Bryophytes 
Caltha.leptosepala,onTrail,0.14285714,-1.945910169,0.53452248,0.14285714,2,Forbs
Carex.nigricans.pyrenaica,onTrail,5.85714286,1.767661918,10.8475956,2.89914186,2,Graminoids
Carex.pyrenaica,onTrail,2.07142857,0.7282384997,7.75057602,2.07142857,2,Graminoids
Carex.spp,onTrail,3,1.098612289,7.32750351,1.95835769,2,Graminoids
Carex.nigricans,onTrail,1.71428571,0.5389964982,6.41426981,1.71428571,2,Graminoids
Carex.spectabilis,onTrail,3.5,1.252762968,5.48774859,1.4666625,2,Graminoids
Cassiope.mertensiana,onTrail,15.9285714,2.76811444,14.8503524,3.96892363,2,Ev. Shrubs 
Castilleja.parviflora,onTrail,0,0,0,0,2,Forbs
Clintonia.uniflora,onTrail,0,0,0,0,2,Forbs
Diphasiastrum,onTrail,1.78571429,0.5798184977,4.13574608,1.10532463,2,Forbs
Epilobium.anagallidifolium,onTrail,0,0,0,0,2,Forbs
Erigeron.glacialis,onTrail,2.85714286,1.049822125,4.03555625,1.07854778,2,Forbs
Festuca.brachyphylla,onTrail,2.21428571,0.7949298729,7.21300718,1.92775726,2,Graminoids
Gaultheria.humifusa,onTrail,0.28571429,-1.252762953,1.06904497,0.28571429,2,Ev. Shrubs
Juncus.drummondii,onTrail,3.85714286,1.349926718,9.62254678,2.5717338,2,Graminoids
Kalmia.microphylla,onTrail,2.78571429,1.024504318,7.72785741,2.06535677,2,Ev. Shrubs
Luzula.piperi,onTrail,1.07142857,0.06899287015,2.01777813,0.53927389,2,Graminoids
Leptarrhena.pyrolifolia,onTrail,0,0,0,0,2,Forbs
Luetka.pectinata,onTrail,29.7857143,3.394028893,12.0459286,3.21940984,2,Forbs
Lupinus_spp,onTrail,2.92857143,1.074514738,6.47437892,1.73035055,2,Forbs
Penstemon.procerus,onTrail,0.14285714,-1.945910169,0.53452248,0.14285714,2,Forbs
Phyllodoce.empetriformis,onTrail,19.3571429,2.963061493,14.5369934,3.8851749,2,Ev. Shrubs
Phyllodoce.glanduliflora,onTrail,2.5,0.9162907319,9.35414347,2.5,2,Ev. Shrubs
Pilosella.tristis,onTrail,7.35714286,1.995671659,8.79341662,2.35013945,2,Forbs
Danthonia.intermedia,onTrail,1.42857143,0.3566749449,5.34522484,1.42857143,2,Graminoids
Vahlodea.atropurpurea.,onTrail,1.85714286,0.6190392099,5.84224855,1.5614066,2,Graminoids
Poa.alpina.arctica_Agrostis.alpina.humilis,onTrail,3.21428571,1.167605159,5.19139186,1.38745784,2,Graminoids
Potentilla.flabellifolia,onTrail,0,0,0,0,2,Forbs
Pulsatilla.occidentalis,onTrail,0,0,0,0,2,Forbs
Salix.barclayi,onTrail,0,0,0,0,2,Dec. Shrubs
Schoenoplectus.acutus,onTrail,0.14285714,-1.945910169,0.53452248,0.14285714,2,Graminoids
Kalmia.spp,onTrail,0,0,0,0,2,Ev. Shrubs
Sorbus.sitchensis,onTrail,0.07142857,-2.63905735,0.26726124,0.07142857,2,Dec. Shrubs
Tonestus.lyallii,onTrail,0.71428571,-0.3364722426,2.67261242,0.71428571,2,Forbs
Tsuga.mertensiana,onTrail,0.92857143,-0.07410797062,1.7743595,0.47421752,2,Conifers
Vaccinium.membranaceum,onTrail,0.14285714,-1.945910169,0.53452248,0.14285714,2,Dec. Shrubs
Vaccinium.ovafolium,onTrail,23.3571429,3.150902843,14.9697497,4.0008339,2,Dec. Shrubs
Vahlodea.atropurpurea,onTrail,0.35714286,-1.029619409,1.33630621,0.35714286,2,Graminoids
Valeriana.stichensis,onTrail,2.57142857,0.9444616083,6.0346982,1.61284094,2,Forbs
Veronica.wormskjoldii,onTrail,0,0,0,0,2,Forbs
