date,transect,quad,compact_UB,compact_B,compact_UB_avg,compact_B_avg,compact_notes
,,2,,2.75,,,
,,3,,0.75,,,
,,4,,0.75,,,
,,5,1,3.5,,,
,,6,N/A,N/A,,,Big rock
,,7,,2,,,
,,8,,2.75,,,
,,9,,2.75,,,
,,10,,2,,,
7/29,BT-12,1,,0.75,,1.575,
,,2,,0.75,,,
,,3,,1.75,,,
,,4,,0.75,,,
,,5,,2.5,,,
,,6,,1.25,,,
,,7,,2.25,,,
,,8,,2.25,,,
,,9,,1.75,,,
,,10,,1.75,,,
7/29,BT-13,1,,2.5,,2.675,
,,2,,2.5,,,
,,3,,3.25,,,
,,4,,2.75,,,
,,5,,2.75,,,
,,6,,2.25,,,
,,7,,2.25,,,
,,8,,1.5,,,
,,9,,3.5,,,
,,10,,3.5,,,
7/29,BT-14,1,,1.75,,1.8,
,,2,,1.25,,,
,,3,,1.75,,,
,,4,,0.75,,,
,,5,,1,,,
,,6,,2.25,,,
,,7,,2,,,
,,8,,2,,,
,,9,,3.75,,,
,,10,,1.5,,,
7/29,BT-15,N/A,N/A,N/A,,,too rocky 
7/29,BT-16,N/A,N/A,N/A,,,too rocky 
7/30,PR-17,1,2.75,3.25,,,
,,2,4,N/A,,,
,,3,4,N/A,,,very stoney 
,,4,4,>4.5,,,very stoney 
,,5,3.5,>4.5,,,very stoney 
,,6,2.5,>4.5,,,very stoney 
,,7,1.5,3.75,,,very stoney 
,,8,2.75,3.75,,,
,,9,2.75,3.5,,,
,,10,N/A,4.75+,,,very stoney 
7/30,PR-18,1,3.25,,,,moss and liter
,,2,2.5,,,,CC
,,3,1.75,,,,CC
,,4,2,,,,CC
,,5,1.5,,,,CC
,,6,2.25,,,,CC
,,7,2.75,,,,CC
,,8,1.75,,,,CC
,,9,2.5,,,,CC
,,10,2,,,,CC
7/30,PR-19,1,2,,,,litter removed 
,,2,,3,,,
,,3,,2.75,,,
,,4,,2.25,,,
,,5,,2.75,,,
,,6,,2.25,,,
,,7,,2.5,,,
,,8,,2.25,,,
,,9,,2,,,
,,10,2.5,,,,only removed small litter (little to no loose dirt)
7/30,PR-20,1,1.5,,,,CC
,,2,1.75,,,,CC
,,3,1.5,,,,CC
,,4,1.75,,,,CC
,,5,1,,,,CC
,,6,2.5,,,,CC
,,7,2.5,,,,CC
,,8,2.5,,,,CC
,,9,2.5,,,,CC
,,10,2,,,,CC
7/30,PR-21,1,,2.75,,3.05,
,,2,,2.25,,,
,,3,,4,,,
,,4,,2.25,,,
,,5,,3.5,,,
,,6,,1.5,,,
,,7,,4,,,
,,8,,2.75,,,
,,9,,3.5,,,
,,10,,4,,,
7/30,PR-22,1,,2,,2.1,
,,2,,2,,,
,,3,,2.5,,,
,,4,,1.75,,,
,,5,,2.25,,,
,,6,,2.25,,,
,,7,,2,,,
,,8,,2.25,,,
,,9,,2,,,
,,10,,2,,,
7/30,PR-23,1,,3.5,,,
,,2,,2,,,
,,3,,>4.5,,,
,,4,,3.25,,,
,,5,,3.5,,,
,,6,,3.25,,,
,,7,,3.5,,,
,,8,,4,,,
,,9,,4,,,
,,10,,4.5,,,
7/30,PR-24,1,,1.5,,2.375,
,,2,,3,,,
,,3,,2.25,,,
,,4,,3.25,,,
,,5,,2.75,,,
,,6,,1.75,,,
,,7,,3.25,,,
,,8,,2.5,,,
,,9,,1.75,,,
,,10,,1.75,,,rocky 
7/16,TM-25,1,,4.25,,3.475,
,,2,,3.25,,,
,,3,,3.75,,,
,,4,,2.75,,,
,,5,,3,,,
,,6,,2.75,,,
,,7,,3.75,,,
,,8,,4.5,,,
,,9,,3.25,,,
,,10,,3.5,,,
7/16,TM-26,1,,1.75,,2.1,CC
,,2,,1.75,,,CC
,,3,,2.5,,,
,,4,,1.75,,,
,,5,,2.25,,,
,,6,,2.25,,,
,,7,,1.75,,,CC
,,8,,2,,,CC
,,9,,2.5,,,
,,10,,2.5,,,CC
7/31,TM-27,1,2.5,4.25,,,
,,2,2.5,>4.5,,,
,,3,3.25,>4.5,,,
,,4,1.25,>4.5,,,
,,5,3.25,4.25,,,
,,6,NA,2.75,,,Small tree blocking path
,,7,NA,4,,,
,,8,3.25,>4.5,,,
,,9,4,>4.5,,,
,,10,NA,>4.5,,,Veggie
7/31,TM-28,1,,2,,1.95,
,,2,,2,,,
,,3,,1.5,,,
,,4,,1.5,,,
,,5,,1.75,,,
,,6,,2.5,,,
,,7,,2,,,
,,8,,1.75,,,
,,9,,3,,,
,,10,,1.5,,,
